,title,image,link
292,"400 women in Dover, NH go on strike in their mill, possibly first all-female strike in American history ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/12/mill_workers.jpg,http://www.lawyersgunsmoneyblog.com/2018/12/day-labor-history-december-30-1828
293,Sharecropper contract signed between landowner Isham Bailey and freedmen ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/12/04522.11p1_1.jpg,http://www.lawyersgunsmoneyblog.com/2019/01/day-labor-history-january-1-1867
294,strike of electrical workers in Saigon just before the Tet Offensive shows the weakness of the South Vietnamese government ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/01/index-2.jpg,http://www.lawyersgunsmoneyblog.com/2019/01/day-labor-history-january-11-1968
295,"Lucy Parsons leads an unemployed march of 10,000 in Chicago ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/01/961px-Lucy.Parsons.1915.arrest-822x1024.jpg,http://www.lawyersgunsmoneyblog.com/2019/01/day-labor-history-january-17-1915
296,"Spanish troops begin their attack on Acoma Pueblo, window into labor relations in colonial New Mexico ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/01/Acoma_New_Mexico_1846_-_1847.jpg,http://www.lawyersgunsmoneyblog.com/2019/01/day-labor-history-january-22-1599
297,The Senate failed to gain cloture on an attempt to appeal Section 14(b) of the Taft-Hartley Act,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2018/07/taft-hartley.jpg,http://www.lawyersgunsmoneyblog.com/2019/02/day-labor-history-february-10-1966
298,"Hoedads working in Oregon poisoned, countercultural reforestation labor",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/02/1.jpg,http://www.lawyersgunsmoneyblog.com/2019/02/day-labor-history-february-11-1978
299,The Panic of 1893 begins when the Philadelphia and Reading Railroad goes bankrupt,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/02/pani1893-1024x685.jpg,http://www.lawyersgunsmoneyblog.com/2019/02/day-labor-history-february-20-1893
300,"Shoemakers in Lynn, Massachusetts begin the nation’s largest strike before the Civil War ",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/02/Lynn-strike-1860.jpg,http://www.lawyersgunsmoneyblog.com/2019/02/day-labor-history-february-22-1860
301,Agricultural Workers Organizing Committee is created ,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/02/256.preview.jpg,http://www.lawyersgunsmoneyblog.com/2019/02/day-labor-history-february-23-1959
302,The workplace health and safety reformer Alice Hamilton is born,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/02/137.jpg,http://www.lawyersgunsmoneyblog.com/2019/02/day-labor-history-february-27-1869
303,CA farmworker march from Delano to Sacramento,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/03/index.jpg,http://www.lawyersgunsmoneyblog.com/2019/03/this-day-in-labor-history-march-17-1966
304,California passes An Act for the Suppression of Chinese Houses of Ill Fame,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/03/old-chinatown-san-francisco-chinese-lady.jpg,http://www.lawyersgunsmoneyblog.com/2019/03/day-labor-history-march-21-1866
305,"Textile Workers Union v. Darlington Manufacturing decided, case that limits collective bargaining over plant closures to effects from a single plant closing",http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/03/f7bfa20bcd12bc0655f87d4f9b35fc3c.jpg,http://www.lawyersgunsmoneyblog.com/2019/03/day-labor-history-march-29-1965
306,U.S. President Martin Van Buren issues an Executive Order ordering the 10 Hour Day on federal projects,http://www.lawyersgunsmoneyblog.com/wp-content/uploads/2019/03/10hour-420.png,http://www.lawyersgunsmoneyblog.com/2019/03/day-labor-history-march-31-1840
307,West Virginia Mine War of 1912 begins,null,http://www.lawyersgunsmoneyblog.com/2019/04/this-day-in-labor-history-april-18-1912
308,"Furniture workers go on strike in Grand Rapids, many over the objections of their churches",null,http://www.lawyersgunsmoneyblog.com/2019/04/this-day-in-labor-history-april-19-1911
309,"USWA men beat Mine, Mill president Maurice Travis, costing him an eye",null,http://www.lawyersgunsmoneyblog.com/2019/04/this-day-in-labor-history-april-20-1949
310,Chicago 8-hour day strike,null,http://www.lawyersgunsmoneyblog.com/2019/05/this-day-in-labor-history-may-1-1867
311,Milwaukee police kill 7 workers during 8-hour day strike,null,http://www.lawyersgunsmoneyblog.com/2019/05/this-day-in-labor-history-may-5-1886
312,Maraka noble killed by slave in Mali as part of slave exodus in region,null,http://www.lawyersgunsmoneyblog.com/2019/05/this-day-in-labor-history-may-15-1905
313,Jury finds for Karen Silkwood’s estate over her murder five years earlier,null,http://www.lawyersgunsmoneyblog.com/2019/05/this-day-in-labor-history-may-18-1979
314,Supreme Court overrules Keating-Owen Child Labor Act in Hammer v. Dagenhart,null,http://www.lawyersgunsmoneyblog.com/2019/06/this-day-in-labor-history-june-3-1918
315,Greenback Party convention nominates presidential candidates,null,http://www.lawyersgunsmoneyblog.com/2019/06/this-day-in-labor-history-june-9-1880
316,Case against laborers in England over wages after Black Death,null,http://www.lawyersgunsmoneyblog.com/2019/06/this-day-in-labor-history-june-11-1352
317,Winnipeg General Strike ends,null,http://www.lawyersgunsmoneyblog.com/2019/06/this-day-in-labor-history-june-25-1919
318,Alabama stops leasing of convicts to mine coal,null,http://www.lawyersgunsmoneyblog.com/2019/06/this-day-in-labor-history-june-30-1928
319,Streetcar workers in New Orleans go on strike,null,http://www.lawyersgunsmoneyblog.com/2019/07/this-day-in-labor-history-july-1-1929
320,Denver smelter strike and the creation of the foundational principles of the IWW,null,http://www.lawyersgunsmoneyblog.com/2019/07/this-day-in-labor-history-july-3-1903
321,end of first black Chicago bus drivers wildcat strike infused with Black Power politics,null,http://www.lawyersgunsmoneyblog.com/2019/07/this-day-in-labor-history-july-6-1968
322,"Raid on sweatshop in El Monte, California uncovers 72 Thai workers in slave labor conditions",null,http://www.lawyersgunsmoneyblog.com/2019/08/this-day-in-labor-history-august-2-1995
323,Worker fired that leads to Solidarity movement in Poland,null,http://www.lawyersgunsmoneyblog.com/2019/08/this-day-in-labor-history-august-7-1980
324,International Longshore and Warehouse Union (ILWU) created,null,http://www.lawyersgunsmoneyblog.com/2019/08/this-day-in-labor-history-august-11-1937
325,South African mineworkers strike,null,http://www.lawyersgunsmoneyblog.com/2019/08/this-day-in-labor-history-august-12-1946
326,planned date for Gabriel’s Rebellion,null,http://www.lawyersgunsmoneyblog.com/2019/08/this-day-in-labor-history-august-30-1800
327,Brotherhood of the Union founded,null,http://www.lawyersgunsmoneyblog.com/2019/09/this-day-in-labor-history-september-1-1849
328,Election of Allende and impact on Chilean labor,null,http://www.lawyersgunsmoneyblog.com/2019/09/this-day-in-labor-history-september-4-1970
329,Watsonville Cannery Strike begins,null,http://www.lawyersgunsmoneyblog.com/2019/09/this-day-in-labor-history-september-9-1985
330,Gray Davis signs first paid family leave law in US,null,http://www.lawyersgunsmoneyblog.com/2019/09/this-day-in-labor-history-september-23-2002
331,Bread riot in Fall River as striking textile workers forced to return to work,null,http://www.lawyersgunsmoneyblog.com/2019/09/this-day-in-labor-history-september-27-1875
332,Battle of Virden,null,http://www.lawyersgunsmoneyblog.com/2019/10/this-day-in-labor-history-october-12-1898
333,RICO Act becomes effective,null,http://www.lawyersgunsmoneyblog.com/2019/10/this-day-in-labor-history-october-15-1970
334,First of five workers die at Standard Oil’s Bayway TEL works from lead exposure in making leaded gasoline,null,http://www.lawyersgunsmoneyblog.com/2019/10/this-day-in-labor-history-october-26-1924
335,"Operation Breadbasket, SCLC attempt to boycott businesses that don’t hire African-Americans",null,http://www.lawyersgunsmoneyblog.com/2019/10/this-day-in-labor-history-october-29-1962
336,"Jeon Tae-Il, a Korean sweatshop worker, burns himself to death in protest over the sweatshop conditions of he and his fellow workers",null,http://www.lawyersgunsmoneyblog.com/2019/11/this-day-in-labor-history-october-13-1970
337,-Cuban cigar workers strike in Tampa collapses,null,http://www.lawyersgunsmoneyblog.com/2019/11/this-day-in-labor-history-november-28-1901
338,John Henry taken from Richmond prison to blast railroad tunnel,null,http://www.lawyersgunsmoneyblog.com/2019/12/this-day-in-labor-history-december-1-1868
339,Monongah Mining Disaster in West Virginia kills at least 362 workers,null,http://www.lawyersgunsmoneyblog.com/2019/12/this-day-in-labor-history-december-6-1907
340,Teamsters expelled from AFL-CIO,null,http://www.lawyersgunsmoneyblog.com/2019/12/this-day-in-labor-history-december-12-1957
341,"Farmers converge on England, Arkansas to demand poverty relief, leads to Will Rogers poverty tour",null,http://www.lawyersgunsmoneyblog.com/2020/01/this-day-in-labor-history-january-3-1931
342,"Durban, South Africa wildcat strikes that was first significant unrest since sentencing of Mandela in 1964",null,http://www.lawyersgunsmoneyblog.com/2020/01/this-day-in-labor-history-january-9-1973
343,NYC transit strike led by Mike Quill ends,null,http://www.lawyersgunsmoneyblog.com/2020/01/this-day-in-labor-history-january-13-1966
344,Brooklyn trolley strike starts,null,http://www.lawyersgunsmoneyblog.com/2020/01/this-day-in-labor-history-january-14-1895
345,Allis-Chalmers strike,null,http://www.lawyersgunsmoneyblog.com/2020/01/this-day-in-labor-history-january-21-1941
346,,null,https://www.addtoany.com/add_to/facebook?linkurl=http%3A%2F%2Fwww.lawyersgunsmoneyblog.com%2F2012%2F07%2Fthis-day-in-labor-history-a-years-retrospective&linkname=This%20Day%20in%20Labor%20History%3A%20A%20Digest
347,,null,https://www.addtoany.com/add_to/twitter?linkurl=http%3A%2F%2Fwww.lawyersgunsmoneyblog.com%2F2012%2F07%2Fthis-day-in-labor-history-a-years-retrospective&linkname=This%20Day%20in%20Labor%20History%3A%20A%20Digest
348,,null,https://www.addtoany.com/add_to/google_plus?linkurl=http%3A%2F%2Fwww.lawyersgunsmoneyblog.com%2F2012%2F07%2Fthis-day-in-labor-history-a-years-retrospective&linkname=This%20Day%20in%20Labor%20History%3A%20A%20Digest
349,Share,null,https://www.addtoany.com/share_save
350,This Day in Labor History,null,http://www.lawyersgunsmoneyblog.com/tag/this-day-in-labor-history
